## header:
##   title: Th232(p,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2026-01-14
##   format: YANDF-0.4
## target:
##   Z: 90
##   A: 232
##   nuclide: Th232 
## residual:
##   Z: 91
##   A: 233
##   nuclide: Pa233 
## parameters: 
##   level density
a                91 233  14.75839
aadjust          91 233   1.00000
gammald          91 233   0.07697
pair             91 233   0.78615
sgr              90 229   0.002 M2
egr              90 229   7.277 M2
ggr              90 229   4.000 M2
sgradjust        90 229   1.000 M2
egradjust        90 229   1.000 M2
ggradjust        90 229   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 229   1.00000
vfiscor          90 229   1.00000
rmiufiscor       90 229   1.00000
betafiscoradjust   90 229   1.00000
vfiscoradjust    90 229   1.00000
rmiufiscoradjust   90 229   1.00000
bdamp            90 229   0.01000  1
bdampadjust      90 229   1.00000  1
class2width      90 229   0.20000  1
Rtransmom        90 229   0.60000  1
Rclass2mom       90 229   1.00000  1
bdamp            90 229   0.01000  2
bdampadjust      90 229   1.00000  2
class2width      90 229   0.20000  2
Rtransmom        90 229   1.00000  2
Rclass2mom       90 229   1.00000  2
bdamp            90 229   0.01000  3
bdampadjust      90 229   1.00000  3
Rtransmom        90 229   1.00000  3
Rclass2mom       90 229   1.00000  3
## residual:
##   Z: 89
##   A: 228
##   nuclide: Ac228 
## parameters: 
##   level density
a                89 228  16.32439
aadjust          89 228   1.00000
gammald          89 228   0.07753
pair             89 228   0.00000
Pshift           89 228   0.00000   0
Pshiftadjust     89 228   0.00000   0
deltaW           89 228   3.55143   0
T                89 228   0.33125   0
E0               89 228  -1.06475   0
Exmatch          89 228   2.16320   0
Tadjust          89 228   1.00000   0
E0adjust         89 228   1.00000   0
Exmatchadjust    89 228   1.00000   0
Ntop             89 228  30   0
Nlow             89 228   2   0
s2adjust         89 228   1.00000   0
ctable           89 228   0.00000   0
ptable           89 228   0.00000   0
ctableadjust     89 228   0.00000   0
ptableadjust     89 228   0.00000   0
Ufermi           89 228  30.00000   0
cfermi           89 228   5.00000   0
Krotconstant     89 228   1.00000   0
Pshift           89 228   0.00000   1
Pshiftadjust     89 228   0.00000   1
deltaW           89 228   1.50000   1
T                89 228   0.33125   1
E0               89 228  -0.80920   1
Exmatch          89 228   1.72280   1
Tadjust          89 228   1.00000   1
E0adjust         89 228   1.00000   1
Exmatchadjust    89 228   1.00000   1
Ntop             89 228   1   1
Nlow             89 228   0   1
s2adjust         89 228   1.00000   1
ctable           89 228   0.00000   1
ptable           89 228   0.00000   1
ctableadjust     89 228   0.00000   1
ptableadjust     89 228   0.00000   1
Ufermi           89 228  45.00000   1
cfermi           89 228   5.00000   1
Krotconstant     89 228   1.00000   1
Pshift           89 228   0.00000   2
Pshiftadjust     89 228   0.00000   2
deltaW           89 228   0.60000   2
T                89 228   0.33125   2
E0               89 228  -0.70987   2
Exmatch          89 228   1.49405   2
Tadjust          89 228   1.00000   2
E0adjust         89 228   1.00000   2
Exmatchadjust    89 228   1.00000   2
Ntop             89 228   1   2
Nlow             89 228   0   2
s2adjust         89 228   1.00000   2
ctable           89 228   0.00000   2
ptable           89 228   0.00000   2
ctableadjust     89 228   0.00000   2
ptableadjust     89 228   0.00000   2
Ufermi           89 228  45.00000   2
cfermi           89 228   5.00000   2
Krotconstant     89 228   1.00000   2
Pshift           89 228   0.00000   3
Pshiftadjust     89 228   0.00000   3
deltaW           89 228   0.60000   3
T                89 228   0.33125   3
E0               89 228  -0.72686   3
Exmatch          89 228   1.49404   3
Tadjust          89 228   1.00000   3
E0adjust         89 228   1.00000   3
Exmatchadjust    89 228   1.00000   3
Ntop             89 228   1   3
Nlow             89 228   0   3
s2adjust         89 228   1.00000   3
ctable           89 228   0.00000   3
ptable           89 228   0.00000   3
ctableadjust     89 228   0.00000   3
ptableadjust     89 228   0.00000   3
Ufermi           89 228  45.00000   3
cfermi           89 228   5.00000   3
Krotconstant     89 228   1.00000   3
g                89 228  15.20000
gp               89 228   5.93333
gn               89 228   9.26667
gnadjust         89 228   1.00000
gpadjust         89 228   1.00000
gadjust          89 228   1.00000
Risomer          89 228   1.00000
## parameters: 
##   photon strength function
gamgam           89 228   0.00000
gamgamadjust     89 228   1.00000
etable           89 228   0.00000 E1
ftable           89 228   1.00000 E1
wtable           89 228   1.00000 E1
etableadjust     89 228   0.00000 E1
ftableadjust     89 228   1.00000 E1
wtableadjust     89 228   1.00000 E1
upbendc          89 228 3.50000E-08 M1
upbende          89 228 8.00000E-01 M1
upbendf          89 228 6.00000E+00 M1
upbendcadjust    89 228 1.00000E+00 M1
upbendeadjust    89 228 1.00000E+00 M1
upbendfadjust    89 228 1.00000E+00 M1
sgr              89 228   2.767 M1
egr              89 228   7.283 M1
ggr              89 228   4.000 M1
sgradjust        89 228   1.000 M1
egradjust        89 228   1.000 M1
ggradjust        89 228   1.000 M1
etable           89 228   0.00000 E2
ftable           89 228   1.00000 E2
wtable           89 228   1.00000 E2
etableadjust     89 228   0.00000 E2
ftableadjust     89 228   1.00000 E2
wtableadjust     89 228   1.00000 E2
upbendc          89 228 0.00000E+00 M2
upbende          89 228 0.00000E+00 M2
upbendf          89 228 0.00000E+00 M2
upbendcadjust    89 228 1.00000E+00 M2
upbendeadjust    89 228 1.00000E+00 M2
upbendfadjust    89 228 1.00000E+00 M2
sgr              89 228   0.002 M2
egr              89 228   7.283 M2
ggr              89 228   4.000 M2
sgradjust        89 228   1.000 M2
egradjust        89 228   1.000 M2
ggradjust        89 228   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       89 228   1.00000
vfiscor          89 228   1.00000
rmiufiscor       89 228   1.00000
betafiscoradjust   89 228   1.00000
vfiscoradjust    89 228   1.00000
rmiufiscoradjust   89 228   1.00000
bdamp            89 228   0.01000  1
bdampadjust      89 228   1.00000  1
class2width      89 228   0.20000  1
Rtransmom        89 228   0.60000  1
Rclass2mom       89 228   1.00000  1
bdamp            89 228   0.01000  2
bdampadjust      89 228   1.00000  2
class2width      89 228   0.20000  2
Rtransmom        89 228   1.00000  2
Rclass2mom       89 228   1.00000  2
bdamp            89 228   0.01000  3
bdampadjust      89 228   1.00000  3
Rtransmom        89 228   1.00000  3
Rclass2mom       89 228   1.00000  3
## residual:
##   Z: 91
##   A: 230
##   nuclide: Pa230 
## parameters: 
##   level density
a                91 230  15.85041
aadjust          91 230   1.00000
gammald          91 230   0.07730
pair             91 230   0.00000
Pshift           91 230   0.00000   0
Pshiftadjust     91 230   0.00000   0
deltaW           91 230   2.94634   0
T                91 230   0.28830   0
E0               91 230  -0.60975   0
Exmatch          91 230   1.39762   0
Tadjust          91 230   1.00000   0
E0adjust         91 230   1.00000   0
Exmatchadjust    91 230   1.00000   0
Ntop             91 230  17   0
Nlow             91 230   6   0
s2adjust         91 230   1.00000   0
ctable           91 230   0.00000   0
ptable           91 230   0.00000   0
ctableadjust     91 230   0.00000   0
ptableadjust     91 230   0.00000   0
Ufermi           91 230  30.00000   0
cfermi           91 230   5.00000   0
Krotconstant     91 230   1.00000   0
Pshift           91 230   0.00000   1
Pshiftadjust     91 230   0.00000   1
deltaW           91 230   1.50000   1
T                91 230   0.33938   1
E0               91 230  -0.90370   1
Exmatch          91 230   1.87333   1
Tadjust          91 230   1.00000   1
E0adjust         91 230   1.00000   1
Exmatchadjust    91 230   1.00000   1
Ntop             91 230   1   1
Nlow             91 230   0   1
s2adjust         91 230   1.00000   1
ctable           91 230   0.00000   1
ptable           91 230   0.00000   1
ctableadjust     91 230   0.00000   1
ptableadjust     91 230   0.00000   1
Ufermi           91 230  45.00000   1
cfermi           91 230   5.00000   1
Krotconstant     91 230   1.00000   1
Pshift           91 230   0.00000   2
Pshiftadjust     91 230   0.00000   2
deltaW           91 230   0.60000   2
T                91 230   0.33938   2
E0               91 230  -0.79480   2
Exmatch          91 230   1.64527   2
Tadjust          91 230   1.00000   2
E0adjust         91 230   1.00000   2
Exmatchadjust    91 230   1.00000   2
Ntop             91 230   1   2
Nlow             91 230   0   2
s2adjust         91 230   1.00000   2
ctable           91 230   0.00000   2
ptable           91 230   0.00000   2
ctableadjust     91 230   0.00000   2
ptableadjust     91 230   0.00000   2
Ufermi           91 230  45.00000   2
cfermi           91 230   5.00000   2
Krotconstant     91 230   1.00000   2
Pshift           91 230   0.00000   3
Pshiftadjust     91 230   0.00000   3
deltaW           91 230   0.60000   3
T                91 230   0.33938   3
E0               91 230  -0.81221   3
Exmatch          91 230   1.64528   3
Tadjust          91 230   1.00000   3
E0adjust         91 230   1.00000   3
Exmatchadjust    91 230   1.00000   3
Ntop             91 230   1   3
Nlow             91 230   0   3
s2adjust         91 230   1.00000   3
ctable           91 230   0.00000   3
ptable           91 230   0.00000   3
ctableadjust     91 230   0.00000   3
ptableadjust     91 230   0.00000   3
Ufermi           91 230  45.00000   3
cfermi           91 230   5.00000   3
Krotconstant     91 230   1.00000   3
g                91 230  15.33333
gp               91 230   6.06667
gn               91 230   9.26667
gnadjust         91 230   1.00000
gpadjust         91 230   1.00000
gadjust          91 230   1.00000
Risomer          91 230   1.00000
## parameters: 
##   photon strength function
gamgam           91 230   0.00000
gamgamadjust     91 230   1.00000
etable           91 230   0.00000 E1
ftable           91 230   1.00000 E1
wtable           91 230   1.00000 E1
etableadjust     91 230   0.00000 E1
ftableadjust     91 230   1.00000 E1
wtableadjust     91 230   1.00000 E1
upbendc          91 230 3.50000E-08 M1
upbende          91 230 8.00000E-01 M1
upbendf          91 230 6.00000E+00 M1
upbendcadjust    91 230 1.00000E+00 M1
upbendeadjust    91 230 1.00000E+00 M1
upbendfadjust    91 230 1.00000E+00 M1
sgr              91 230   2.788 M1
egr              91 230   7.272 M1
ggr              91 230   4.000 M1
sgradjust        91 230   1.000 M1
egradjust        91 230   1.000 M1
ggradjust        91 230   1.000 M1
etable           91 230   0.00000 E2
ftable           91 230   1.00000 E2
wtable           91 230   1.00000 E2
etableadjust     91 230   0.00000 E2
ftableadjust     91 230   1.00000 E2
wtableadjust     91 230   1.00000 E2
upbendc          91 230 0.00000E+00 M2
upbende          91 230 0.00000E+00 M2
upbendf          91 230 0.00000E+00 M2
upbendcadjust    91 230 1.00000E+00 M2
upbendeadjust    91 230 1.00000E+00 M2
upbendfadjust    91 230 1.00000E+00 M2
sgr              91 230   0.002 M2
egr              91 230   7.272 M2
ggr              91 230   4.000 M2
sgradjust        91 230   1.000 M2
egradjust        91 230   1.000 M2
ggradjust        91 230   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       91 230   1.00000
vfiscor          91 230   1.00000
rmiufiscor       91 230   1.00000
betafiscoradjust   91 230   1.00000
vfiscoradjust    91 230   1.00000
rmiufiscoradjust   91 230   1.00000
bdamp            91 230   0.01000  1
bdampadjust      91 230   1.00000  1
class2width      91 230   0.20000  1
Rtransmom        91 230   0.60000  1
Rclass2mom       91 230   1.00000  1
bdamp            91 230   0.01000  2
bdampadjust      91 230   1.00000  2
class2width      91 230   0.20000  2
Rtransmom        91 230   1.00000  2
Rclass2mom       91 230   1.00000  2
bdamp            91 230   0.01000  3
bdampadjust      91 230   1.00000  3
Rtransmom        91 230   1.00000  3
Rclass2mom       91 230   1.00000  3
## residual:
##   Z: 90
##   A: 228
##   nuclide: Th228 
## parameters: 
##   level density
a                90 228  15.86251
aadjust          90 228   1.00000
gammald          90 228   0.07753
pair             90 228   1.58944
Pshift           90 228   0.00000   0
Pshiftadjust     90 228   0.00000   0
deltaW           90 228   3.05800   0
T                90 228   0.39341   0
E0               90 228  -0.13808   0
Exmatch          90 228   4.67020   0
Tadjust          90 228   1.00000   0
E0adjust         90 228   1.00000   0
Exmatchadjust    90 228   1.00000   0
Ntop             90 228  43   0
Nlow             90 228   2   0
s2adjust         90 228   1.00000   0
ctable           90 228   0.00000   0
ptable           90 228   0.00000   0
ctableadjust     90 228   0.00000   0
ptableadjust     90 228   0.00000   0
Ufermi           90 228  30.00000   0
cfermi           90 228   5.00000   0
Krotconstant     90 228   1.00000   0
Pshift           90 228   0.00000   1
Pshiftadjust     90 228   0.00000   1
deltaW           90 228   1.50000   1
T                90 228   0.40547   1
E0               90 228   0.00005   1
Exmatch          90 228   4.51914   1
Tadjust          90 228   1.00000   1
E0adjust         90 228   1.00000   1
Exmatchadjust    90 228   1.00000   1
Ntop             90 228   1   1
Nlow             90 228   0   1
s2adjust         90 228   1.00000   1
ctable           90 228   0.00000   1
ptable           90 228   0.00000   1
ctableadjust     90 228   0.00000   1
ptableadjust     90 228   0.00000   1
Ufermi           90 228  45.00000   1
cfermi           90 228   5.00000   1
Krotconstant     90 228   1.00000   1
Pshift           90 228   0.00000   2
Pshiftadjust     90 228   0.00000   2
deltaW           90 228   0.60000   2
T                90 228   0.42065   2
E0               90 228   0.00006   2
Exmatch          90 228   4.53931   2
Tadjust          90 228   1.00000   2
E0adjust         90 228   1.00000   2
Exmatchadjust    90 228   1.00000   2
Ntop             90 228   1   2
Nlow             90 228   0   2
s2adjust         90 228   1.00000   2
ctable           90 228   0.00000   2
ptable           90 228   0.00000   2
ctableadjust     90 228   0.00000   2
ptableadjust     90 228   0.00000   2
Ufermi           90 228  45.00000   2
cfermi           90 228   5.00000   2
Krotconstant     90 228   1.00000   2
Pshift           90 228   0.00000   3
Pshiftadjust     90 228   0.00000   3
deltaW           90 228   0.60000   3
T                90 228   0.41881   3
E0               90 228   0.00005   3
Exmatch          90 228   4.50796   3
Tadjust          90 228   1.00000   3
E0adjust         90 228   1.00000   3
Exmatchadjust    90 228   1.00000   3
Ntop             90 228   1   3
Nlow             90 228   0   3
s2adjust         90 228   1.00000   3
ctable           90 228   0.00000   3
ptable           90 228   0.00000   3
ctableadjust     90 228   0.00000   3
ptableadjust     90 228   0.00000   3
Ufermi           90 228  45.00000   3
cfermi           90 228   5.00000   3
Krotconstant     90 228   1.00000   3
g                90 228  15.20000
gp               90 228   6.00000
gn               90 228   9.20000
gnadjust         90 228   1.00000
gpadjust         90 228   1.00000
gadjust          90 228   1.00000
Risomer          90 228   1.00000
## parameters: 
##   photon strength function
gamgam           90 228   0.00000
gamgamadjust     90 228   1.00000
etable           90 228   0.00000 E1
ftable           90 228   1.00000 E1
wtable           90 228   1.00000 E1
etableadjust     90 228   0.00000 E1
ftableadjust     90 228   1.00000 E1
wtableadjust     90 228   1.00000 E1
upbendc          90 228 3.50000E-08 M1
upbende          90 228 8.00000E-01 M1
upbendf          90 228 6.00000E+00 M1
upbendcadjust    90 228 1.00000E+00 M1
upbendeadjust    90 228 1.00000E+00 M1
upbendfadjust    90 228 1.00000E+00 M1
sgr              90 228   2.767 M1
egr              90 228   7.283 M1
ggr              90 228   4.000 M1
sgradjust        90 228   1.000 M1
egradjust        90 228   1.000 M1
ggradjust        90 228   1.000 M1
etable           90 228   0.00000 E2
ftable           90 228   1.00000 E2
wtable           90 228   1.00000 E2
etableadjust     90 228   0.00000 E2
ftableadjust     90 228   1.00000 E2
wtableadjust     90 228   1.00000 E2
upbendc          90 228 0.00000E+00 M2
upbende          90 228 0.00000E+00 M2
upbendf          90 228 0.00000E+00 M2
upbendcadjust    90 228 1.00000E+00 M2
upbendeadjust    90 228 1.00000E+00 M2
upbendfadjust    90 228 1.00000E+00 M2
sgr              90 228   0.002 M2
egr              90 228   7.283 M2
ggr              90 228   4.000 M2
sgradjust        90 228   1.000 M2
egradjust        90 228   1.000 M2
ggradjust        90 228   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 228   1.00000
vfiscor          90 228   1.00000
rmiufiscor       90 228   1.00000
betafiscoradjust   90 228   1.00000
vfiscoradjust    90 228   1.00000
rmiufiscoradjust   90 228   1.00000
bdamp            90 228   0.01000  1
bdampadjust      90 228   1.00000  1
class2width      90 228   0.20000  1
Rtransmom        90 228   0.60000  1
Rclass2mom       90 228   1.00000  1
bdamp            90 228   0.01000  2
bdampadjust      90 228   1.00000  2
class2width      90 228   0.20000  2
Rtransmom        90 228   1.00000  2
Rclass2mom       90 228   1.00000  2
bdamp            90 228   0.01000  3
bdampadjust      90 228   1.00000  3
Rtransmom        90 228   1.00000  3
Rclass2mom       90 228   1.00000  3
## residual:
##   Z: 89
##   A: 227
##   nuclide: Ac227 
## parameters: 
##   level density
a                89 227  16.01705
aadjust          89 227   1.00000
gammald          89 227   0.07764
pair             89 227   0.79647
Pshift           89 227   0.00000   0
Pshiftadjust     89 227   0.00000   0
deltaW           89 227   3.33668   0
T                89 227   0.40311   0
E0               89 227  -1.10585   0
Exmatch          89 227   4.08516   0
Tadjust          89 227   1.00000   0
E0adjust         89 227   1.00000   0
Exmatchadjust    89 227   1.00000   0
Ntop             89 227   8   0
Nlow             89 227   3   0
s2adjust         89 227   1.00000   0
ctable           89 227   0.00000   0
ptable           89 227   0.00000   0
ctableadjust     89 227   0.00000   0
ptableadjust     89 227   0.00000   0
Ufermi           89 227  30.00000   0
cfermi           89 227   5.00000   0
Krotconstant     89 227   1.00000   0
Pshift           89 227   0.00000   1
Pshiftadjust     89 227   0.00000   1
deltaW           89 227   1.50000   1
T                89 227   0.33037   1
E0               89 227   0.00000   1
Exmatch          89 227   2.49402   1
Tadjust          89 227   1.00000   1
E0adjust         89 227   1.00000   1
Exmatchadjust    89 227   1.00000   1
Ntop             89 227   1   1
Nlow             89 227   0   1
s2adjust         89 227   1.00000   1
ctable           89 227   0.00000   1
ptable           89 227   0.00000   1
ctableadjust     89 227   0.00000   1
ptableadjust     89 227   0.00000   1
Ufermi           89 227  45.00000   1
cfermi           89 227   5.00000   1
Krotconstant     89 227   1.00000   1
Pshift           89 227   0.00000   2
Pshiftadjust     89 227   0.00000   2
deltaW           89 227   0.60000   2
T                89 227   0.34284   2
E0               89 227   0.00002   2
Exmatch          89 227   2.45909   2
Tadjust          89 227   1.00000   2
E0adjust         89 227   1.00000   2
Exmatchadjust    89 227   1.00000   2
Ntop             89 227   1   2
Nlow             89 227   0   2
s2adjust         89 227   1.00000   2
ctable           89 227   0.00000   2
ptable           89 227   0.00000   2
ctableadjust     89 227   0.00000   2
ptableadjust     89 227   0.00000   2
Ufermi           89 227  45.00000   2
cfermi           89 227   5.00000   2
Krotconstant     89 227   1.00000   2
Pshift           89 227   0.00000   3
Pshiftadjust     89 227   0.00000   3
deltaW           89 227   0.60000   3
T                89 227   0.34068   3
E0               89 227   0.00001   3
Exmatch          89 227   2.42534   3
Tadjust          89 227   1.00000   3
E0adjust         89 227   1.00000   3
Exmatchadjust    89 227   1.00000   3
Ntop             89 227   1   3
Nlow             89 227   0   3
s2adjust         89 227   1.00000   3
ctable           89 227   0.00000   3
ptable           89 227   0.00000   3
ctableadjust     89 227   0.00000   3
ptableadjust     89 227   0.00000   3
Ufermi           89 227  45.00000   3
cfermi           89 227   5.00000   3
Krotconstant     89 227   1.00000   3
g                89 227  15.13333
gp               89 227   5.93333
gn               89 227   9.20000
gnadjust         89 227   1.00000
gpadjust         89 227   1.00000
gadjust          89 227   1.00000
Risomer          89 227   1.00000
## parameters: 
##   photon strength function
gamgam           89 227   0.00000
gamgamadjust     89 227   1.00000
etable           89 227   0.00000 E1
ftable           89 227   1.00000 E1
wtable           89 227   1.00000 E1
etableadjust     89 227   0.00000 E1
ftableadjust     89 227   1.00000 E1
wtableadjust     89 227   1.00000 E1
upbendc          89 227 3.50000E-08 M1
upbende          89 227 8.00000E-01 M1
upbendf          89 227 6.00000E+00 M1
upbendcadjust    89 227 1.00000E+00 M1
upbendeadjust    89 227 1.00000E+00 M1
upbendfadjust    89 227 1.00000E+00 M1
sgr              89 227   2.757 M1
egr              89 227   7.288 M1
ggr              89 227   4.000 M1
sgradjust        89 227   1.000 M1
egradjust        89 227   1.000 M1
ggradjust        89 227   1.000 M1
etable           89 227   0.00000 E2
ftable           89 227   1.00000 E2
wtable           89 227   1.00000 E2
etableadjust     89 227   0.00000 E2
ftableadjust     89 227   1.00000 E2
wtableadjust     89 227   1.00000 E2
upbendc          89 227 0.00000E+00 M2
upbende          89 227 0.00000E+00 M2
upbendf          89 227 0.00000E+00 M2
upbendcadjust    89 227 1.00000E+00 M2
upbendeadjust    89 227 1.00000E+00 M2
upbendfadjust    89 227 1.00000E+00 M2
sgr              89 227   0.002 M2
egr              89 227   7.288 M2
ggr              89 227   4.000 M2
sgradjust        89 227   1.000 M2
egradjust        89 227   1.000 M2
ggradjust        89 227   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       89 227   1.00000
vfiscor          89 227   1.00000
rmiufiscor       89 227   1.00000
betafiscoradjust   89 227   1.00000
vfiscoradjust    89 227   1.00000
rmiufiscoradjust   89 227   1.00000
bdamp            89 227   0.01000  1
bdampadjust      89 227   1.00000  1
class2width      89 227   0.20000  1
Rtransmom        89 227   0.60000  1
Rclass2mom       89 227   1.00000  1
bdamp            89 227   0.01000  2
bdampadjust      89 227   1.00000  2
class2width      89 227   0.20000  2
Rtransmom        89 227   1.00000  2
Rclass2mom       89 227   1.00000  2
bdamp            89 227   0.01000  3
bdampadjust      89 227   1.00000  3
Rtransmom        89 227   1.00000  3
Rclass2mom       89 227   1.00000  3
## residual:
##   Z: 91
##   A: 229
##   nuclide: Pa229 
## parameters: 
##   level density
a                91 229  15.84731
aadjust          91 229   1.00000
gammald          91 229   0.07741
pair             91 229   0.79298
Pshift           91 229   0.00000   0
Pshiftadjust     91 229   0.00000   0
deltaW           91 229   3.07000   0
T                91 229   0.33835   0
E0               91 229  -0.28791   0
Exmatch          91 229   2.98351   0
Tadjust          91 229   1.00000   0
E0adjust         91 229   1.00000   0
Exmatchadjust    91 229   1.00000   0
Ntop             91 229   0   0
Nlow             91 229   0   0
s2adjust         91 229   1.00000   0
ctable           91 229   0.00000   0
ptable           91 229   0.00000   0
ctableadjust     91 229   0.00000   0
ptableadjust     91 229   0.00000   0
Ufermi           91 229  30.00000   0
cfermi           91 229   5.00000   0
Krotconstant     91 229   1.00000   0
Pshift           91 229   0.00000   1
Pshiftadjust     91 229   0.00000   1
deltaW           91 229   1.50000   1
T                91 229   0.32797   1
E0               91 229   0.00001   1
Exmatch          91 229   2.47535   1
Tadjust          91 229   1.00000   1
E0adjust         91 229   1.00000   1
Exmatchadjust    91 229   1.00000   1
Ntop             91 229   1   1
Nlow             91 229   0   1
s2adjust         91 229   1.00000   1
ctable           91 229   0.00000   1
ptable           91 229   0.00000   1
ctableadjust     91 229   0.00000   1
ptableadjust     91 229   0.00000   1
Ufermi           91 229  45.00000   1
cfermi           91 229   5.00000   1
Krotconstant     91 229   1.00000   1
Pshift           91 229   0.00000   2
Pshiftadjust     91 229   0.00000   2
deltaW           91 229   0.60000   2
T                91 229   0.34029   2
E0               91 229   0.00001   2
Exmatch          91 229   2.43962   2
Tadjust          91 229   1.00000   2
E0adjust         91 229   1.00000   2
Exmatchadjust    91 229   1.00000   2
Ntop             91 229   1   2
Nlow             91 229   0   2
s2adjust         91 229   1.00000   2
ctable           91 229   0.00000   2
ptable           91 229   0.00000   2
ctableadjust     91 229   0.00000   2
ptableadjust     91 229   0.00000   2
Ufermi           91 229  45.00000   2
cfermi           91 229   5.00000   2
Krotconstant     91 229   1.00000   2
Pshift           91 229   0.00000   3
Pshiftadjust     91 229   0.00000   3
deltaW           91 229   0.60000   3
T                91 229   0.33813   3
E0               91 229   0.00001   3
Exmatch          91 229   2.40579   3
Tadjust          91 229   1.00000   3
E0adjust         91 229   1.00000   3
Exmatchadjust    91 229   1.00000   3
Ntop             91 229   1   3
Nlow             91 229   0   3
s2adjust         91 229   1.00000   3
ctable           91 229   0.00000   3
ptable           91 229   0.00000   3
ctableadjust     91 229   0.00000   3
ptableadjust     91 229   0.00000   3
Ufermi           91 229  45.00000   3
cfermi           91 229   5.00000   3
Krotconstant     91 229   1.00000   3
g                91 229  15.26667
gp               91 229   6.06667
gn               91 229   9.20000
gnadjust         91 229   1.00000
gpadjust         91 229   1.00000
gadjust          91 229   1.00000
Risomer          91 229   1.00000
## parameters: 
##   photon strength function
gamgam           91 229   0.00000
gamgamadjust     91 229   1.00000
etable           91 229   0.00000 E1
ftable           91 229   1.00000 E1
wtable           91 229   1.00000 E1
etableadjust     91 229   0.00000 E1
ftableadjust     91 229   1.00000 E1
wtableadjust     91 229   1.00000 E1
upbendc          91 229 3.50000E-08 M1
upbende          91 229 8.00000E-01 M1
upbendf          91 229 6.00000E+00 M1
upbendcadjust    91 229 1.00000E+00 M1
upbendeadjust    91 229 1.00000E+00 M1
upbendfadjust    91 229 1.00000E+00 M1
sgr              91 229   2.777 M1
egr              91 229   7.277 M1
ggr              91 229   4.000 M1
sgradjust        91 229   1.000 M1
egradjust        91 229   1.000 M1
ggradjust        91 229   1.000 M1
etable           91 229   0.00000 E2
ftable           91 229   1.00000 E2
wtable           91 229   1.00000 E2
etableadjust     91 229   0.00000 E2
ftableadjust     91 229   1.00000 E2
wtableadjust     91 229   1.00000 E2
upbendc          91 229 0.00000E+00 M2
upbende          91 229 0.00000E+00 M2
upbendf          91 229 0.00000E+00 M2
upbendcadjust    91 229 1.00000E+00 M2
upbendeadjust    91 229 1.00000E+00 M2
upbendfadjust    91 229 1.00000E+00 M2
sgr              91 229   0.002 M2
egr              91 229   7.277 M2
ggr              91 229   4.000 M2
sgradjust        91 229   1.000 M2
egradjust        91 229   1.000 M2
ggradjust        91 229   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       91 229   1.00000
vfiscor          91 229   1.00000
rmiufiscor       91 229   1.00000
betafiscoradjust   91 229   1.00000
vfiscoradjust    91 229   1.00000
rmiufiscoradjust   91 229   1.00000
bdamp            91 229   0.01000  1
bdampadjust      91 229   1.00000  1
class2width      91 229   0.20000  1
Rtransmom        91 229   0.60000  1
Rclass2mom       91 229   1.00000  1
bdamp            91 229   0.01000  2
bdampadjust      91 229   1.00000  2
class2width      91 229   0.20000  2
Rtransmom        91 229   1.00000  2
Rclass2mom       91 229   1.00000  2
bdamp            91 229   0.01000  3
bdampadjust      91 229   1.00000  3
Rtransmom        91 229   1.00000  3
Rclass2mom       91 229   1.00000  3
## residual:
##   Z: 90
##   A: 227
##   nuclide: Th227 
## parameters: 
##   level density
a                90 227  15.95384
aadjust          90 227   1.00000
gammald          90 227   0.07764
pair             90 227   0.79647
Pshift           90 227   0.00000   0
Pshiftadjust     90 227   0.00000   0
deltaW           90 227   3.11901   0
T                90 227   0.41194   0
E0               90 227  -1.18470   0
Exmatch          90 227   4.19168   0
Tadjust          90 227   1.00000   0
E0adjust         90 227   1.00000   0
Exmatchadjust    90 227   1.00000   0
Ntop             90 227  16   0
Nlow             90 227   7   0
s2adjust         90 227   1.00000   0
ctable           90 227   0.00000   0
ptable           90 227   0.00000   0
ctableadjust     90 227   0.00000   0
ptableadjust     90 227   0.00000   0
Ufermi           90 227  30.00000   0
cfermi           90 227   5.00000   0
Krotconstant     90 227   1.00000   0
Pshift           90 227   0.00000   1
Pshiftadjust     90 227   0.00000   1
deltaW           90 227   1.50000   1
T                90 227   0.32996   1
E0               90 227   0.00003   1
Exmatch          90 227   2.48965   1
Tadjust          90 227   1.00000   1
E0adjust         90 227   1.00000   1
Exmatchadjust    90 227   1.00000   1
Ntop             90 227   1   1
Nlow             90 227   0   1
s2adjust         90 227   1.00000   1
ctable           90 227   0.00000   1
ptable           90 227   0.00000   1
ctableadjust     90 227   0.00000   1
ptableadjust     90 227   0.00000   1
Ufermi           90 227  45.00000   1
cfermi           90 227   5.00000   1
Krotconstant     90 227   1.00000   1
Pshift           90 227   0.00000   2
Pshiftadjust     90 227   0.00000   2
deltaW           90 227   0.60000   2
T                90 227   0.34239   2
E0               90 227   0.00004   2
Exmatch          90 227   2.45434   2
Tadjust          90 227   1.00000   2
E0adjust         90 227   1.00000   2
Exmatchadjust    90 227   1.00000   2
Ntop             90 227   1   2
Nlow             90 227   0   2
